# Base de datos de firmas de malware para Ares Aegis
# Formato: tipo_amenaza|patrón|descripción|severidad
# Severidad: ALTA, MEDIA, BAJA

# Virus y troyanos comunes
VIRUS|X5O!P%@AP[4\PZX54(P^)7CC)7}$|EICAR Test File|MEDIA
TROJAN|BEGIN PGP MESSAGE|Posible mensaje cifrado malicioso|MEDIA
ROOTKIT|ZwQueryDirectoryFile|Hook API sospechoso|ALTA
BACKDOOR|cmd.exe /c|Ejecución de comando sospechosa|ALTA
MALWARE|CreateRemoteThread|Inyección de código|ALTA

# Patrones de scripts maliciosos
SCRIPT|eval(|Ejecución de código dinámico|MEDIA
SCRIPT|base64_decode|Decodificación sospechosa|MEDIA
SCRIPT|shell_exec|Ejecución de shell|ALTA
SCRIPT|system(|Llamada al sistema|ALTA
SCRIPT|exec(|Ejecución de código|MEDIA

# Patrones de PowerShell malicioso
POWERSHELL|powershell.exe -enc|PowerShell codificado|ALTA
POWERSHELL|Invoke-Expression|Ejecución dinámica PS|MEDIA
POWERSHELL|DownloadString|Descarga remota PS|ALTA
POWERSHELL|IEX|Alias de Invoke-Expression|MEDIA
POWERSHELL|Start-Process -WindowStyle Hidden|Proceso oculto|MEDIA

# Patrones de documentos maliciosos
MACRO|Auto_Open|Macro de apertura automática|ALTA
MACRO|Workbook_Open|Macro de libro Excel|ALTA
MACRO|Shell.Application|Ejecución via Shell|ALTA
MACRO|WScript.Shell|Script de Windows|ALTA
MACRO|CreateObject|Creación de objeto COM|MEDIA

# Patrones de red sospechosos
NETWORK|nc -l|Netcat listener|ALTA
NETWORK|/bin/bash|Shell remoto|ALTA
NETWORK|wget http|Descarga remota|MEDIA
NETWORK|curl -o|Descarga con curl|MEDIA
NETWORK|ftp://|Transferencia FTP|BAJA

# Patrones de cryptominers
MINER|stratum+tcp|Protocolo de minería|ALTA
MINER|cryptonight|Algoritmo de minería|ALTA
MINER|xmrig|Software de minería|ALTA
MINER|monero|Criptomoneda|MEDIA
MINER|bitcoin|Criptomoneda|MEDIA

# Patrones de phishing
PHISHING|Account will be suspended|Texto de phishing|MEDIA
PHISHING|Click here to verify|Texto de phishing|MEDIA
PHISHING|Urgent action required|Texto de phishing|MEDIA
PHISHING|paypal.com-|Dominio falso|ALTA
PHISHING|facebook.com-|Dominio falso|ALTA

# Patrones de ransomware
RANSOMWARE|Your files have been encrypted|Mensaje de ransomware|ALTA
RANSOMWARE|Bitcoin payment|Pago de rescate|ALTA
